,cost
label_1,0.31695096503178843
label_2,0.34511923559949204
label_3,0.3316250849277444
label_4,0.32727465879118334
label_5,0.3206661689759345
label_6,0.31918388524309915
label_7,0.31094005697075655
label_8,0.333065568852007
label_9,0.3169509650317884
label_10,0.3280027683748146
