,values
learning_rate,0.001
min_residual,0.0001
max_tries,100000.0
exp_reg,0.0
pol_reg,1.0
polynomial_degree,7.0
residual,0.00032162808962584935
theta_0,-36194.53721080301
theta_1,714.6471394065367
theta_2,12.214061603776901
theta_3,0.11375862472647542
theta_4,0.0009249159717179165
theta_5,7.249528681303496e-06
theta_6,5.648043611472638e-08
theta_7,4.414204769785897e-10
